,classifier,n_features,train_time,accuracy,precision,recall,f1_score
0,decision_tree,21,0.2650411129,0.6489,0.6628,0.6531,0.6579
1,decision_tree,15,0.1660387516,0.654,0.6726,0.6448,0.6584
2,decision_tree,10,0.115042448,0.6588,0.6837,0.6329,0.6573
3,decision_tree,8,0.0900375843,0.6775,0.7011,0.656,0.6778
4,decision_tree,5,0.0440416336,0.7183,0.7171,0.7517,0.734
5,decision_tree,3,0.0329988003,0.7171,0.716,0.7505,0.7328
6,random_forest,21,0.8100137711,0.7321,0.7215,0.7848,0.7518
7,random_forest,15,0.7389986515,0.7334,0.7246,0.7813,0.7519
8,random_forest,10,0.7660603523,0.728,0.7163,0.7848,0.749
9,random_forest,8,0.6640460491,0.7327,0.7179,0.7956,0.7548
10,random_forest,5,0.7190573215,0.7253,0.7128,0.7849,0.7471
11,random_forest,3,0.6140406132,0.7049,0.6948,0.7654,0.7284
12,k_nearest_neighbor,21,0.0080053806,0.6294,0.7179,0.4664,0.5654
13,k_nearest_neighbor,15,1.7058961391,0.6358,0.7256,0.4753,0.5744
14,k_nearest_neighbor,10,1.3509995937,0.6382,0.7293,0.4777,0.5773
15,k_nearest_neighbor,8,1.3379974365,0.6431,0.7362,0.4827,0.5831
16,k_nearest_neighbor,5,1.1800382137,0.6339,0.7232,0.473,0.5719
17,k_nearest_neighbor,3,0.1800017357,0.6239,0.7236,0.4411,0.5481
18,support_vector_machine,21,117.5383050442,0.7472,0.7354,0.7984,0.7656
19,support_vector_machine,15,85.7860400677,0.7475,0.7354,0.7991,0.7659
20,support_vector_machine,10,71.9510309696,0.7438,0.7324,0.7948,0.7623
21,support_vector_machine,8,67.6549944878,0.7424,0.7298,0.7969,0.7619
22,support_vector_machine,5,67.1829612255,0.7327,0.7189,0.7931,0.7542
23,support_vector_machine,3,67.0309989452,0.7237,0.7198,0.7624,0.7405
